PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Pollachi,21,GEN,Tamil Nadu,Shanmuga Sundaram. K,Dravida Munetra Kazhagam,"17,16,498","10,81,875",0.639,"1,75,883",0.163
Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,"12,65,341","10,17,265",0.809,"1,93,273",0.19
Porbandar,11,GEN,Gujarat,Rameshbhai Lavjibhai Dhaduk,Bharatiya Janta Party,"16,26,015","9,49,947",0.589,"2,29,823",0.242
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Sangam Lal Gupta,Bharatiya Janta Party,"16,70,655","9,14,665",0.555,"1,17,752",0.129
Puducherry,1,GEN,Pondicherry,Ve. Vaithilingam,Indian National Congress,"9,69,845","7,90,760",0.828,"1,97,025",0.249
Pune,34,GEN,Maharashtra,Girish Bhalchandra Bapat,Bharatiya Janta Party,"19,97,594","10,35,236",0.524,"3,24,628",0.314
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,"15,00,546","11,35,620",0.762,11714,0.01
Purnia,12,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),"20,55,471","11,53,940",0.57,"2,63,461",0.228
Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,"17,61,215","13,55,236",0.776,"2,04,732",0.151
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,"16,31,187","9,99,400",0.627,"2,93,648",0.294
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,"16,28,549","9,58,556",0.595,"1,67,178",0.174
Raichur,6,ST,Karnataka,Raja Amareshwara Naik,Bharatiya Janta Party,"18,96,652","11,24,385",0.601,"1,17,716",0.105
Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatray,Nationalist Congress Party,"15,98,012","10,25,467",0.649,31438,0.031
Raiganj,5,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,"15,31,944","12,77,109",0.843,60574,0.047
Raigarh,2,ST,Chhattisgarh,Gomati Sai,Bharatiya Janta Party,"17,14,355","13,50,124",0.797,66027,0.049
Raipur,8,GEN,Chhattisgarh,Sunil Kumar Soni,Bharatiya Janta Party,"20,46,014","13,96,250",0.685,"3,48,238",0.249
Rajahmundry,8,,Andhra Pradesh [2014 Onwards],Margani Bharat,Yuvajana Sramika Rythu Congress Party,"13,82,260","12,50,427",0.918,"1,21,634",0.097
Rajampet,24,,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,"14,06,762","12,24,354",0.886,"2,68,284",0.219
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,"16,49,452","12,60,329",0.77,"4,31,019",0.342
Rajkot,10,GEN,Gujarat,Kundaria Mohanbhai Kalyanjibhai,Bharatiya Janta Party,"18,39,420","11,95,271",0.66,"3,68,407",0.308
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,"14,22,969","10,47,657",0.745,99195,0.095
Rajnandgaon,6,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,"16,88,647","13,07,033",0.786,"1,11,966",0.086
Rajsamand,22,GEN,Rajasthan,Diya Kumari,Bharatiya Janta Party,"18,63,749","12,39,845",0.672,"5,51,916",0.445
Ramanathapuram,35,GEN,Tamil Nadu,K. Navaskani,Indian Union Muslim League,"15,53,058","10,66,146",0.691,"1,27,122",0.119
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Mohammad Azam Khan,Samajwadi Party,"16,58,551","10,60,921",0.644,"1,09,997",0.104
Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,"18,18,912","11,96,744",0.665,"1,26,783",0.106
Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,"19,74,979","14,84,035",0.756,"2,33,428",0.157
Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,"18,27,355","12,35,441",0.679,"2,83,026",0.229
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Guman Singh Damor,Bharatiya Janta Party,"18,02,722","14,00,509",0.797,90636,0.065
Ratnagiri - Si,46,GEN,Maharashtra,Vinayak Raut,Shiv Sena,"13,93,965","9,01,102",0.656,"1,78,322",0.198
Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,"17,07,838","10,92,971",0.645,"3,35,882",0.307
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,"16,28,121","10,13,251",0.624,"3,12,807",0.309
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Pakauri Lal Kol,Apna Dal (Soneylal),"16,72,073","9,88,287",0.604,54336,0.055
Rohtak,7,GEN,Haryana,Arvind Kumar Sharma,Bharatiya Janta Party,"16,38,605","12,20,571",0.747,7503,0.006
Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,"16,95,262","12,18,354",0.722,"2,68,987",0.221
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Rajbahadur Singh,Bharatiya Janta Party,"15,50,731","10,37,175",0.675,"3,05,542",0.295
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Haji Fazlur Rehman,Bahujan Samaj Party,"16,77,662","12,31,746",0.737,22417,0.018
Salem,15,GEN,Tamil Nadu,Parthiban.S.R,Dravida Munetra Kazhagam,"15,80,013","12,55,459",0.805,"1,46,926",0.117
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ravinder,Bharatiya Janta Party,"16,52,927","9,21,066",0.562,"1,12,477",0.122
Samastipur,23,SC,Bihar [2000 Onwards],Ramchandra Paswan,Lok Jan Shakti Party,"16,55,671","10,19,025",0.637,"2,51,643",0.247
